INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,BANKINDIA ,23/02/2017,00000107.60,00000107.60,00000106.00,00000106.35,000000002148000,       30751200.00,           288000,              048,              046
FUTSTK    ,BATAINDIA ,25/01/2017,00000463.35,00000466.40,00000456.70,00000461.25,000000002808300,      451913770.00,           980100,              891,              858
FUTSTK    ,BATAINDIA ,23/02/2017,00000458.00,00000460.00,00000458.00,00000460.00,000000000022000,        3025715.00,             6600,              006,              006
FUTSTK    ,BEL       ,25/01/2017,00001436.15,00001452.45,00001425.00,00001433.55,000000001741050,     1437985845.00,           999000,             2220,             2130
FUTSTK    ,BEL       ,23/02/2017,00001442.35,00001442.35,00001436.95,00001436.95,000000000004500,        1295685.00,              900,              002,              002
FUTSTK    ,BEML      ,25/01/2017,00001017.30,00001025.00,00001006.10,00001010.45,000000000843000,      497512800.00,           489600,              816,              788
FUTSTK    ,BHARATFIN ,25/01/2017,00000621.65,00000639.65,00000621.65,00000630.35,000000009015000,     8323439750.00,         13159000,            13159,            12230
FUTSTK    ,BHARATFIN ,23/02/2017,00000631.00,00000641.70,00000630.00,00000630.00,000000000060000,       29784800.00,            47000,              047,              046
FUTSTK    ,BHARATFORG,25/01/2017,00000926.00,00000928.00,00000913.35,00000917.15,000000004666200,     1695681780.00,          1841400,             3069,             2756
FUTSTK    ,BHARATFORG,23/02/2017,00000924.00,00000924.95,00000916.90,00000917.60,000000000036000,       26507880.00,            28800,              048,              039
FUTSTK    ,BHARTIARTL,25/01/2017,00000302.10,00000314.90,00000298.55,00000314.00,000000025763500,     3261028145.00,         10631800,             6254,             5831
FUTSTK    ,BHARTIARTL,23/02/2017,00000300.45,00000314.00,00000298.50,00000313.25,000000000474300,       47504630.00,           154700,              091,              091
FUTSTK    ,BHARTIARTL,30/03/2017,00000306.50,00000314.05,00000306.50,00000313.55,000000000035700,       10642850.00,            34000,              020,              020
FUTSTK    ,BHEL      ,25/01/2017,00000125.35,00000127.90,00000125.10,00000126.95,000000032235000,     2024498000.00,         15975000,             3195,             3015
FUTSTK    ,BHEL      ,23/02/2017,00000125.80,00000127.90,00000125.50,00000127.60,000000001040000,       29797500.00,           235000,              047,              043
FUTSTK    ,BHEL      ,30/03/2017,00000127.80,00000127.80,00000127.80,00000127.80,000000000010000,         639000.00,             5000,              001,              001
FUTSTK    ,BIOCON    ,25/01/2017,00000949.40,00000953.70,00000933.95,00000936.00,000000002416200,     1091711460.00,          1159200,             1932,             1791
FUTSTK    ,BIOCON    ,23/02/2017,00000955.95,00000955.95,00000938.00,00000938.00,000000000217800,       35222160.00,            37200,              062,              062
FUTSTK    ,BOSCHLTD  ,25/01/2017,00020967.30,00021027.50,00020100.00,00020411.85,000000000077250,      590898342.50,            28750,             1150,             1088
FUTSTK    ,BOSCHLTD  ,23/02/2017,00020300.00,00020625.00,00020250.00,00020605.90,000000000000150,        3067633.75,              150,              006,              006
FUTSTK    ,BPCL      ,25/01/2017,00000647.10,00000652.60,00000637.50,00000646.80,000000014842800,     3121508400.00,          4832400,             4027,             3850
FUTSTK    ,BPCL      ,23/02/2017,00000642.00,00000651.35,00000636.70,00000644.75,000000000192000,       33289020.00,            51600,              043,              041
FUTSTK    ,BRITANNIA ,25/01/2017,00002877.75,00002894.00,00002836.00,00002857.90,000000001125400,      545656020.00,           190800,              954,              909
FUTSTK    ,BRITANNIA ,23/02/2017,00002857.00,00002877.05,00002857.00,00002877.05,000000000000800,        1722220.00,              600,              003,              003
