DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
13-JAN-2017,FUTSTK,LT,25-JAN-2017,1444.30
13-JAN-2017,FUTSTK,LT,23-FEB-2017,1450.25
13-JAN-2017,FUTSTK,LT,30-MAR-2017,1458.85
13-JAN-2017,FUTSTK,LUPIN,25-JAN-2017,1502.20
13-JAN-2017,FUTSTK,LUPIN,23-FEB-2017,1508.40
13-JAN-2017,FUTSTK,LUPIN,30-MAR-2017,1517.15
13-JAN-2017,FUTSTK,M&M,25-JAN-2017,1222.60
13-JAN-2017,FUTSTK,M&M,23-FEB-2017,1228.20
13-JAN-2017,FUTSTK,M&M,30-MAR-2017,1234.85
13-JAN-2017,FUTSTK,M&MFIN,25-JAN-2017,287.25
13-JAN-2017,FUTSTK,M&MFIN,23-FEB-2017,288.55
13-JAN-2017,FUTSTK,M&MFIN,30-MAR-2017,290.40
13-JAN-2017,FUTSTK,MARICO,25-JAN-2017,259.45
13-JAN-2017,FUTSTK,MARICO,23-FEB-2017,260.30
13-JAN-2017,FUTSTK,MARICO,30-MAR-2017,261.95
13-JAN-2017,FUTSTK,MARUTI,25-JAN-2017,5722.10
13-JAN-2017,FUTSTK,MARUTI,23-FEB-2017,5743.80
13-JAN-2017,FUTSTK,MARUTI,30-MAR-2017,5779.00
13-JAN-2017,FUTSTK,MCDOWELL-N,25-JAN-2017,1918.05
